person,dept,eow,cause,cause_short,date,year,canine,dept_name,state,description,latitude,longitude,state_name
Police Officer Jose Raimundo DeLeon,"Miami Police Department, FL","EOW: Friday, December 21, 1984",Cause of Death: Motorcycle accident,Motorcycle accident,12/21/1984,1984,FALSE,Miami Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Deputy Sheriff William Kress Horne,"Anson County Sheriff's Office, NC","EOW: Sunday, December 23, 1984",Cause of Death: Gunfire,Gunfire,12/23/1984,1984,FALSE,Anson County Sheriff's Office,NC,Raleigh,35.78043,-78.639099,North Carolina
Officer John Koppin,"Miami Beach Police Department, FL","EOW: Wednesday, December 26, 1984",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),12/26/1984,1984,FALSE,Miami Beach Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Sergeant Ernest J. Malatinka,"Hammond Police Department, IN","EOW: Saturday, December 29, 1984",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),12/29/1984,1984,FALSE,Hammond Police Department,IN,Indianapolis,39.768623,-86.162643,Indiana
Police Officer Anthony E. Jansen,"Newport Police Department, KY","EOW: Sunday, December 30, 1984",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),12/30/1984,1984,FALSE,Newport Police Department,KY,Frankfort,38.186722,-84.875374,Kentucky
Chief of Police James R. Wulf,"Sabinal Police Department, TX","EOW: Monday, December 31, 1984",Cause of Death: Drowned,Drowned,12/31/1984,1984,FALSE,Sabinal Police Department,TX,Austin,30.27467,-97.740349,Texas
"Sergeant Jacquelyn Kay ""Jackie"" Sherrill","Hattiesburg Police Department, MS","EOW: Monday, December 31, 1984",Cause of Death: Gunfire,Gunfire,12/31/1984,1984,FALSE,Hattiesburg Police Department,MS,Jackson,32.303848,-90.182106,Mississippi
Patrolman Eugene E. DeBerry,"Lakeland Police Department, FL","EOW: Monday, January 14, 1985",Cause of Death: Motorcycle accident,Motorcycle accident,1/14/1985,1985,FALSE,Lakeland Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Corporal Thomas Earl Bowles,"Athens Police Department, GA","EOW: Wednesday, January 16, 1985",Cause of Death: Assault,Assault,1/16/1985,1985,FALSE,Athens Police Department,GA,Atlanta,33.749027,-84.388229,Georgia
Corporal Robert E. Armstrong,"Dothan Police Department, AL","EOW: Saturday, January 19, 1985",Cause of Death: Vehicular assault,Vehicular assault,1/19/1985,1985,FALSE,Dothan Police Department,AL,Montgomery,32.377716,-86.300568,Alabama
Police Officer John F. Clonan,"New York City Police Department, NY","EOW: Saturday, January 19, 1985",Cause of Death: Automobile accident,Automobile accident,1/19/1985,1985,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Patrol Officer Craig Alan Nollmeyer,"Tacoma Police Department, WA","EOW: Thursday, January 24, 1985",Cause of Death: Gunfire,Gunfire,1/24/1985,1985,FALSE,Tacoma Police Department,WA,Olympia,47.035805,-122.905014,Washington
Police Officer Deanna Hummel Rose,"Overland Park Police Department, KS","EOW: Saturday, January 26, 1985",Cause of Death: Vehicular assault,Vehicular assault,1/26/1985,1985,FALSE,Overland Park Police Department,KS,Topeka,39.048191,-95.677956,Kansas
Deputy Game Warden James C. Vines,"Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL","EOW: Saturday, January 26, 1985",Cause of Death: Gunfire,Gunfire,1/26/1985,1985,FALSE,Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries,AL,Montgomery,32.377716,-86.300568,Alabama
"Officer Robert A. ""Bob"" White","San Jose Police Department, CA","EOW: Sunday, January 27, 1985",Cause of Death: Electrocuted,Electrocuted,1/27/1985,1985,FALSE,San Jose Police Department,CA,Sacramento,38.576668,-121.493629,California
Patrolman Manuel Olivas,"New Mexico State Police, NM","EOW: Friday, February 1, 1985",Cause of Death: Vehicular assault,Vehicular assault,2/1/1985,1985,FALSE,New Mexico State Police,NM,Santa Fe,35.68224,-105.939728,New Mexico
Patrolman Jeffery G. Casner,"Berlin Police Department, CT","EOW: Saturday, February 2, 1985",Cause of Death: Assault,Assault,2/2/1985,1985,FALSE,Berlin Police Department,CT,Hartford,41.764046,-72.682198,Connecticut
Detective Gary Lee Ward,"Oklahoma City Police Department, OK","EOW: Saturday, February 2, 1985",Cause of Death: Gunfire,Gunfire,2/2/1985,1985,FALSE,Oklahoma City Police Department,OK,Oklahoma City,35.492207,-97.503342,Oklahoma
Trooper Gary William Fisher,"Pennsylvania State Police, PA","EOW: Sunday, February 3, 1985",Cause of Death: Gunfire,Gunfire,2/3/1985,1985,FALSE,Pennsylvania State Police,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Sheriff Joseph Ray Steenbergen,"Collin County Sheriff's Office, TX","EOW: Tuesday, February 5, 1985",Cause of Death: Automobile accident,Automobile accident,2/5/1985,1985,FALSE,Collin County Sheriff's Office,TX,Austin,30.27467,-97.740349,Texas
Police Specialist David H. Massel,"Woodlawn Police Department, OH","EOW: Saturday, February 9, 1985",Cause of Death: Vehicular assault,Vehicular assault,2/9/1985,1985,FALSE,Woodlawn Police Department,OH,Columbus,39.961346,-82.999069,Ohio
Lieutenant Timothy J. Sullivan,"Anaconda Police Department, MT","EOW: Sunday, February 10, 1985",Cause of Death: Gunfire,Gunfire,2/10/1985,1985,FALSE,Anaconda Police Department,MT,Helena,46.585709,-112.018417,Montana
Deputy Sheriff Raymond Henry Topolewski,"Will County Sheriff's Office, IL","EOW: Sunday, February 10, 1985",Cause of Death: Vehicular assault,Vehicular assault,2/10/1985,1985,FALSE,Will County Sheriff's Office,IL,Springfield,39.798363,-89.654961,Illinois
Trooper John James Brown,"Pennsylvania State Police, PA","EOW: Thursday, February 14, 1985",Cause of Death: Struck by vehicle,Struck by vehicle,2/14/1985,1985,FALSE,Pennsylvania State Police,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Police Officer John Thomas Scanlon,"Robbinsdale Police Department, MN","EOW: Thursday, February 14, 1985",Cause of Death: Gunfire,Gunfire,2/14/1985,1985,FALSE,Robbinsdale Police Department,MN,St. Paul,44.955097,-93.102211,Minnesota
Patrolman Robert Anthony Way,"North Charleston Police Department, SC","EOW: Monday, February 18, 1985",Cause of Death: Gunfire,Gunfire,2/18/1985,1985,FALSE,North Charleston Police Department,SC,Columbia,34.000343,-81.033211,South Carolina
Police Officer Gary R. Stymiloski,"Westchester County Department of Public Safety, NY","EOW: Sunday, February 24, 1985",Cause of Death: Gunfire,Gunfire,2/24/1985,1985,FALSE,Westchester County Department of Public Safety,NY,Albany,42.652843,-73.757874,New York
Corporal Barry Lee Pendrey,"Roanoke City Sheriff's Office, VA","EOW: Tuesday, February 26, 1985",Cause of Death: Assault,Assault,2/26/1985,1985,FALSE,Roanoke City Sheriff's Office,VA,Richmond,37.538857,-77.43364,Virginia
Sergeant Raymond P. Cimino,"Chelsea Police Department, MA","EOW: Thursday, February 28, 1985",Cause of Death: Heart attack,Heart attack,2/28/1985,1985,FALSE,Chelsea Police Department,MA,Boston,42.358162,-71.063698,Massachusetts
Officer David W. Parker,"Honolulu Police Department, HI","EOW: Friday, March 1, 1985",Cause of Death: Motorcycle accident,Motorcycle accident,3/1/1985,1985,FALSE,Honolulu Police Department,HI,Honolulu,21.307442,-157.857376,Hawaii
Police Officer Peter Vincent McDonald,"Brookside Village Police Department, TX","EOW: Friday, March 1, 1985",Cause of Death: Duty related illness,Duty related illness,3/1/1985,1985,FALSE,Brookside Village Police Department,TX,Austin,30.27467,-97.740349,Texas
Trooper James M. Froemsdorf,"Missouri State Highway Patrol, MO","EOW: Saturday, March 2, 1985",Cause of Death: Gunfire,Gunfire,3/2/1985,1985,FALSE,Missouri State Highway Patrol,MO,Jefferson City,38.579201,-92.172935,Missouri
Patrolman John R. Fallis,"Pine Bluff Police Department, AR","EOW: Monday, March 4, 1985",Cause of Death: Gunfire,Gunfire,3/4/1985,1985,FALSE,Pine Bluff Police Department,AR,Little Rock,34.746613,-92.288986,Arkansas
K9 Blitz,"Montgomery County Police Department, MD","EOW: Friday, March 8, 1985",Cause of Death: Gunfire,Gunfire,3/8/1985,1985,TRUE,Montgomery County Police Department,MD,Annapolis,38.978764,-76.490936,Maryland
Deputy Sheriff Richard D. Glass,"Mason County Sheriff's Office, WA","EOW: Saturday, March 9, 1985",Cause of Death: Vehicle pursuit,Vehicle pursuit,3/9/1985,1985,FALSE,Mason County Sheriff's Office,WA,Olympia,47.035805,-122.905014,Washington
Patrolman Kevin Jolyon Williams,"Huntsville Police Department, TX","EOW: Sunday, March 10, 1985",Cause of Death: Gunfire,Gunfire,3/10/1985,1985,FALSE,Huntsville Police Department,TX,Austin,30.27467,-97.740349,Texas
"Police Officer Harvey Glenn Lawson, Jr.","Clarksville Police Department, VA","EOW: Tuesday, March 12, 1985",Cause of Death: Gunfire,Gunfire,3/12/1985,1985,FALSE,Clarksville Police Department,VA,Richmond,37.538857,-77.43364,Virginia
Officer Abigail J. Powlett,"Plainfield Police Department, NJ","EOW: Friday, March 15, 1985",Cause of Death: Gunfire,Gunfire,3/15/1985,1985,FALSE,Plainfield Police Department,NJ,Trenton,40.220596,-74.769913,New Jersey
Police Officer Rosario Joseph Collura,"Milwaukee Police Department, WI","EOW: Tuesday, March 19, 1985",Cause of Death: Gunfire,Gunfire,3/19/1985,1985,FALSE,Milwaukee Police Department,WI,Madison,43.074684,-89.384445,Wisconsin
Police Officer Leonard R. Lesnieski,"Milwaukee Police Department, WI","EOW: Tuesday, March 19, 1985",Cause of Death: Gunfire,Gunfire,3/19/1985,1985,FALSE,Milwaukee Police Department,WI,Madison,43.074684,-89.384445,Wisconsin
Sheriff Matthew Victor Schofield,"Haakon County Sheriff's Department, SD","EOW: Thursday, March 21, 1985",Cause of Death: Automobile accident,Automobile accident,3/21/1985,1985,FALSE,Haakon County Sheriff's Department,SD,Pierre,44.367031,-100.346405,South Dakota
Chief of Police Bill Earl Jones,"Lorenzo Police Department, TX","EOW: Saturday, March 23, 1985",Cause of Death: Gunfire,Gunfire,3/23/1985,1985,FALSE,Lorenzo Police Department,TX,Austin,30.27467,-97.740349,Texas
Trooper Lindell J. Gibbons,"Florida Highway Patrol, FL","EOW: Saturday, March 23, 1985",Cause of Death: Vehicle pursuit,Vehicle pursuit,3/23/1985,1985,FALSE,Florida Highway Patrol,FL,Tallahassee,30.438118,-84.281296,Florida
Patrolman Thomas Edward Strunk,"Billerica Police Department, MA","EOW: Wednesday, March 27, 1985",Cause of Death: Vehicular assault,Vehicular assault,3/27/1985,1985,FALSE,Billerica Police Department,MA,Boston,42.358162,-71.063698,Massachusetts
Patrolman Ronald Jeffery Turek,"Blair Township Police Department, PA","EOW: Wednesday, March 27, 1985",Cause of Death: Gunfire,Gunfire,3/27/1985,1985,FALSE,Blair Township Police Department,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Investigator Michael O. Lewis,"San Bernardino County District Attorney's Office, CA","EOW: Saturday, March 30, 1985",Cause of Death: Automobile accident,Automobile accident,3/30/1985,1985,FALSE,San Bernardino County District Attorney's Office,CA,Sacramento,38.576668,-121.493629,California
Agent Thomas E. Riggs,"San Diego Police Department, CA","EOW: Sunday, March 31, 1985",Cause of Death: Gunfire,Gunfire,3/31/1985,1985,FALSE,San Diego Police Department,CA,Sacramento,38.576668,-121.493629,California
Officer Robert E. Fitzpatrick,"Miami Beach Police Department, FL","EOW: Wednesday, April 3, 1985",Cause of Death: Duty related illness,Duty related illness,4/3/1985,1985,FALSE,Miami Beach Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Deputy Sheriff James Arthur Bevis,"Jackson County Sheriff's Department, FL","EOW: Thursday, April 4, 1985",Cause of Death: Gunfire,Gunfire,4/4/1985,1985,FALSE,Jackson County Sheriff's Department,FL,Tallahassee,30.438118,-84.281296,Florida
Patrol Officer Leland Pye,"Hoffman Estates Police Department, IL","EOW: Saturday, April 6, 1985",Cause of Death: Heart attack,Heart attack,4/6/1985,1985,FALSE,Hoffman Estates Police Department,IL,Springfield,39.798363,-89.654961,Illinois
Deputy Sheriff Clifford E. Sanchez,"San Bernardino County Sheriff's Department, CA","EOW: Saturday, April 6, 1985",Cause of Death: Gunfire,Gunfire,4/6/1985,1985,FALSE,San Bernardino County Sheriff's Department,CA,Sacramento,38.576668,-121.493629,California
Officer David W. Copleman,"California Highway Patrol, CA","EOW: Saturday, April 6, 1985",Cause of Death: Vehicle pursuit,Vehicle pursuit,4/6/1985,1985,FALSE,California Highway Patrol,CA,Sacramento,38.576668,-121.493629,California
Trooper Giles Arthur Harmon,"North Carolina Highway Patrol, NC","EOW: Tuesday, April 9, 1985",Cause of Death: Gunfire,Gunfire,4/9/1985,1985,FALSE,North Carolina Highway Patrol,NC,Raleigh,35.78043,-78.639099,North Carolina
Sheriff George Edward Goare,"Webster County Sheriff's Office, GA","EOW: Thursday, April 11, 1985",Cause of Death: Gunfire,Gunfire,4/11/1985,1985,FALSE,Webster County Sheriff's Office,GA,Atlanta,33.749027,-84.388229,Georgia
Patrol Officer Steven Harold Downing,"Gallatin Police Department, TN","EOW: Friday, April 12, 1985",Cause of Death: Heart attack,Heart attack,4/12/1985,1985,FALSE,Gallatin Police Department,TN,Nashville,36.16581,-86.784241,Tennessee
Trooper Leo Whitt,"Virginia State Police, VA","EOW: Friday, April 12, 1985",Cause of Death: Gunfire,Gunfire,4/12/1985,1985,FALSE,Virginia State Police,VA,Richmond,37.538857,-77.43364,Virginia
Trooper Jimmie Elliott Linegar,"Missouri State Highway Patrol, MO","EOW: Monday, April 15, 1985",Cause of Death: Gunfire,Gunfire,4/15/1985,1985,FALSE,Missouri State Highway Patrol,MO,Jefferson City,38.579201,-92.172935,Missouri
Corporal Julius Norman Schulte,"Mobile Police Department, AL","EOW: Thursday, April 18, 1985",Cause of Death: Gunfire,Gunfire,4/18/1985,1985,FALSE,Mobile Police Department,AL,Montgomery,32.377716,-86.300568,Alabama
"Trooper William Paul Kohlleppel, III","Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Friday, April 19, 1985",Cause of Death: Struck by vehicle,Struck by vehicle,4/19/1985,1985,FALSE,Texas Department of Public Safety - Texas Highway Patrol,TX,Austin,30.27467,-97.740349,Texas
